high_season;min_diff;delay_15;period_day
1;3;0;Night
1;9;0;Night
1;9;0;Night
1;3;0;Night
1;0;0;Night
1;34;1;Night
1;0;0;Night
1;0;0;Night
1;40;1;Night
1;69;1;Night
1;0;0;Night
1;14;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;15;1;Night
1;0;0;Night
1;2;0;Night
1;8;0;Night
1;0;0;Night
1;52;1;Night
1;0;0;Night
1;0;0;Night
1;26;1;Night
1;0;0;Night
1;0;0;Night
1;2;0;Night
1;2;0;Night
1;0;0;Night
1;0;0;Night
1;5;0;Night
1;0;0;Night
1;1;0;Night
1;0;0;Night
1;3;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;4;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;1;0;Night
1;0;0;Night
1;10;0;Night
1;20;1;Night
1;11;0;Night
1;24;1;Night
1;0;0;Night
1;0;0;Night
1;14;0;Night
1;5;0;Night
1;0;0;Night
1;25;1;Night
1;1;0;Night
1;0;0;Night
1;0;0;Night
1;13;0;Night
1;0;0;Night
1;2;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;3;0;Night
1;0;0;Night
1;5;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;62;1;Night
1;2;0;Night
1;0;0;Night
1;19;1;Afternoon
1;60;1;Afternoon
1;17;1;Afternoon
1;26;1;Afternoon
1;14;0;Afternoon
1;67;1;Afternoon
1;84;1;Afternoon
1;63;1;Afternoon
1;97;1;Afternoon
1;17;1;Afternoon
1;90;1;Afternoon
1;130;1;Afternoon
1;24;1;Afternoon
1;77;1;Afternoon
1;32;1;Afternoon
1;39;1;Afternoon
1;48;1;Afternoon
1;6;0;Afternoon
1;2;0;Afternoon
1;28;1;Afternoon
1;11;0;Afternoon
1;33;1;Afternoon
1;69;1;Afternoon
1;20;1;Afternoon
1;3;0;Afternoon
1;22;1;Afternoon
1;21;1;Afternoon
1;22;1;Afternoon
1;27;1;Afternoon
1;6;0;Afternoon
1;20;1;Night
1;17;1;Night
1;19;1;Night
1;47;1;Night
1;5;0;Night
1;63;1;Night
1;55;1;Night
1;53;1;Night
1;105;1;Night
1;20;1;Night
1;72;1;Night
1;26;1;Night
1;99;1;Night
1;52;1;Night
1;33;1;Night
1;147;1;Night
1;18;1;Night
1;25;1;Night
1;5;0;Night
1;21;1;Night
1;13;0;Night
1;21;1;Night
1;11;0;Night
1;0;0;Night
1;0;0;Night
1;8;0;Night
1;6;0;Night
1;0;0;Night
1;6;0;Night
1;0;0;Afternoon
1;0;0;Afternoon
1;3;0;Afternoon
1;0;0;Afternoon
1;0;0;Afternoon
1;16;1;Afternoon
1;0;0;Afternoon
1;1;0;Afternoon
1;14;0;Afternoon
1;8;0;Afternoon
1;7;0;Afternoon
1;7;0;Afternoon
1;5;0;Afternoon
1;17;1;Afternoon
1;1;0;Afternoon
1;12;0;Afternoon
1;0;0;Afternoon
1;33;1;Afternoon
1;6;0;Afternoon
1;0;0;Afternoon
1;8;0;Afternoon
1;7;0;Afternoon
1;0;0;Afternoon
1;3;0;Afternoon
1;0;0;Afternoon
1;12;0;Afternoon
1;0;0;Afternoon
1;7;0;Afternoon
1;14;0;Afternoon
1;14;0;Afternoon
1;0;0;Afternoon
1;0;0;Night
1;13;0;Night
1;0;0;Night
1;0;0;Night
1;7;0;Night
1;0;0;Night
1;14;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;1;0;Night
1;4;0;Night
1;0;0;Night
1;138;1;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Night
1;13;0;Night
1;0;0;Night
1;0;0;Night
1;0;0;Morning
1;2;0;Morning
1;0;0;Morning
1;31;1;Morning
1;18;1;Morning
1;0;0;Morning
1;0;0;Morning
1;0;0;Morning
1;20;1;Morning
1;8;0;Morning
1;11;0;Morning
1;0;0;Morning
1;88;1;Morning
1;17;1;Morning
1;27;1;Morning
1;2;0;Morning
1;1;0;Morning
1;33;1;Morning
1;11;0;Morning
1;2;0;Morning
1;10;0;Morning
1;0;0;Morning
1;0;0;Morning
1;0;0;Morning
1;0;0;Morning
1;0;0;Morning
1;0;0;Morning
1;3;0;Morning
1;1;0;Morning
1;1;0;Morning
1;35;1;Morning
1;0;0;Morning
1;0;0;Morning
1;0;0;Morning
1;6;0;Morning
1;14;0;Morning
1;0;0;Morning
1;0;0;Morning
1;0;0;Morning
1;5;0;Morning
1;18;1;Morning
1;0;0;Morning
1;0;0;Morning
1;0;0;Morning
1;17;1;Morning
1;15;1;Morning
1;1;0;Morning
1;0;0;Morning
1;30;1;Morning
1;0;0;Morning
1;0;0;Morning
1;0;0;Morning
1;0;0;Morning
1;0;0;Afternoon
1;5;0;Afternoon
1;25;1;Afternoon
1;4;0;Afternoon
1;0;0;Afternoon
1;11;0;Afternoon
1;0;0;Afternoon
1;0;0;Afternoon
1;0;0;Afternoon
1;7;0;Afternoon
1;9;0;Afternoon
1;42;1;Afternoon
1;9;0;Afternoon
1;4;0;Afternoon
1;0;0;Afternoon
1;0;0;Afternoon
1;0;0;Afternoon
1;6;0;Afternoon
1;0;0;Afternoon
1;0;0;Afternoon
1;0;0;Afternoon
1;0;0;Afternoon
1;1;0;Afternoon
1;0;0;Afternoon
1;0;0;Afternoon
1;1;0;Afternoon
